Danh muc,Ten san pham,Ma hang (SKU),Xuat xu,Don vi tinh,Mo ta,Ten file anh,Link hinh anh,Link tham khao
THIẾT BỊ BÁO CHÁY HOCHIKI,"Module giám sát cho đầu báo thường, model: DCP-CZM",DCP-CZM,Hochiki/JP-US,cái,"<p>Module giám sát đầu báo thường Hochiki DCP-CZM, kết nối các đầu báo loại thường vào hệ thống báo cháy địa chỉ, giúp tích hợp thiết bị thường vào mạng địa chỉ mà vẫn định vị được.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: module zone (giám sát đầu báo thường)</li>
<li>Dùng cho hệ địa chỉ Hochiki</li>
<li>Có địa chỉ riêng trên loop</li>
<li>Hãng: Hochiki</li>
</ul>
<h3>Ứng dụng</h3>
<p>Mở rộng/nâng cấp hệ báo cháy địa chỉ có dùng đầu báo thường.</p>",dcp-czm.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/dcp-czm.jpeg,https://nhatnam.com.vn/san-pham/bao-chay-dia-chi-hochiki/module-dia-chi-hochiki/module-cho-dau-bao-thuong.html
THIẾT BỊ BÁO CHÁY HOCHIKI,"Module điều khiển báo cháy, model: DCP-R2ML",DCP-R2ML,Hochiki/US,cái,"<p>Module điều khiển Hochiki DCP-R2ML với 2 ngõ ra rơ-le, dùng điều khiển thiết bị ngoại vi khi có báo động.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: module điều khiển 2 ngõ ra rơ-le</li>
<li>Dùng cho hệ địa chỉ Hochiki</li>
<li>Có địa chỉ riêng trên loop</li>
<li>Hãng: Hochiki – xuất xứ Mỹ (US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Điều khiển quạt hút khói, van, cửa chống cháy, thang máy về tầng khi báo cháy.</p>",dcp-r2ml.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/dcp-r2ml.webp,https://pccctranduy.com/module-dieu-khien-2-ngo-ra-ro-le-hochiki-dcp-r2ml
THIẾT BỊ BÁO CHÁY HOCHIKI,"Module giám sát báo cháy, model: DCP-FRCME-M",DCP-FRCME-M,Hochiki/US,cái,"<p>Module giám sát ngõ vào Hochiki DCP-FRCME-M, giám sát trạng thái các thiết bị đầu vào và báo về trung tâm địa chỉ.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: module monitor (giám sát ngõ vào)</li>
<li>Dùng cho hệ địa chỉ Hochiki</li>
<li>Có địa chỉ riêng trên loop</li>
<li>Hãng: Hochiki – xuất xứ Mỹ (US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Giám sát công tắc dòng chảy, van chữa cháy, nút nhấn, thiết bị bên thứ ba.</p>",dcp-frcme-m.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/dcp-frcme-m.webp,https://pccctranduy.com/module-giam-sat-ngo-vao-hochiki-dcp-frcme-m
THIẾT BỊ BÁO CHÁY NOTIFIER,Đầu báo cháy khói loại địa chỉ + đế FSP/951,FSP-951,Notifier/THD,bộ,"<p>Đầu báo khói địa chỉ Notifier FSP-951 kèm đế, dòng cảm biến quang thông minh cho hệ báo cháy địa chỉ. Mỗi đầu có địa chỉ riêng giúp xác định chính xác vị trí cháy trên màn hình trung tâm.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo khói quang địa chỉ (addressable)</li>
<li>Công nghệ cảm biến thông minh, bù trôi (drift compensation)</li>
<li>Kèm đế địa chỉ</li>
<li>Hãng: Notifier (Honeywell) – xuất xứ Thái Lan</li>
<li><em>(Dải điện áp loop, dòng tiêu thụ: đối chiếu datasheet)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Công trình lớn cần định vị chính xác từng điểm: cao ốc, khách sạn, trung tâm thương mại.</p>",fsp-951.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/fsp-951.png,https://cdp.com.vn/fsp-951-addressable-smoke-detector
THIẾT BỊ BÁO CHÁY NOTIFIER,Đầu báo nhiệt loại địa chỉ + đế FST/951,FST-951,Notifier/THD,bộ,"<p>Đầu báo nhiệt địa chỉ Notifier FST-951 kèm đế, phát hiện cháy qua nhiệt cho hệ địa chỉ, định vị chính xác điểm báo.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo nhiệt địa chỉ (addressable)</li>
<li>Loại gia tăng + cố định</li>
<li>Kèm đế địa chỉ</li>
<li>Hãng: Notifier (Honeywell) – xuất xứ Thái Lan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Khu vực dễ báo giả với đầu báo khói trong công trình dùng hệ địa chỉ.</p>",fst-951.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/fst-951.png,https://cdp.com.vn/fst-951-addressable-heat-detector
THIẾT BỊ BÁO CHÁY NOTIFIER,Đầu báo khói thường + đế 2W-B,2W-B,System Sensor/ TQ,bộ,"<p>Đầu báo khói thường System Sensor 2W-B kèm đế, loại 2 dây, cảm biến khói quang điện – giải pháp kinh tế cho hệ báo cháy thường.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo khói quang loại 2 dây (2-wire)</li>
<li>Kèm đế đấu nối</li>
<li>Điện áp tương thích hệ thường 12/24V</li>
<li>Hãng: System Sensor – xuất xứ Trung Quốc</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ báo cháy thường cho nhà ở, cửa hàng, văn phòng nhỏ.</p>",2w-b.jpg|2w-b-2.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/2w-b.jpg|https://pcccphuoclong.vn/wp-content/uploads/2026/06/2w-b-2.jpeg,https://honeywellfire.vn/2w-b-dau-bao-khoi-quang-loai-hai-day
THIẾT BỊ BÁO CHÁY NOTIFIER,Đầu báo cháy nhiệt thường + đế 5151-CH,5151-CH,System Sensor/ TQ,bộ,"<p>Đầu báo nhiệt thường System Sensor 5151-CH kèm đế, loại gia tăng kết hợp cố định, kích hoạt ở khoảng 57°C.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo nhiệt gia tăng + cố định</li>
<li>Ngưỡng cố định: ~57°C</li>
<li>Kèm đế đấu nối</li>
<li>Hãng: System Sensor – xuất xứ Trung Quốc</li>
</ul>
<h3>Ứng dụng</h3>
<p>Bếp, nhà xe, khu vực có khói bụi/hơi nước.</p>",5151-ch.jpg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/5151-ch.jpg,https://honeywellfire.vn/5151-dau-bao-nhiet-gia-tang-ket-hop-co-dinh-57-do
THIẾT BỊ BÁO CHÁY YUNYANG,Trung tâm báo cháy Yunyang,,Yunyang/Taiwan,tủ,"<p>Trung tâm báo cháy Yunyang – bộ điều khiển trung tâm cho hệ báo cháy thường với chi phí hợp lý, tiếp nhận tín hiệu đầu báo/nút nhấn và điều khiển thiết bị cảnh báo.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: tủ trung tâm báo cháy thường</li>
<li>Số kênh tùy model (vd 2 zone trở lên)</li>
<li>Nguồn AC + ắc-quy dự phòng</li>
<li>Hãng: Yunyang – Đài Loan</li>
<li><em>(Số zone cụ thể: xác nhận theo model)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Công trình nhỏ và vừa cần giải pháp báo cháy tiết kiệm.</p>",trung-tam-bao-chay-yunyang.jpg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/trung-tam-bao-chay-yunyang.jpg,https://yunyang.com.vn/trung-tam-bao-chay-2-kenh-yunyang-yf3-2l-mau-do/
THIẾT BỊ BÁO CHÁY YUNYANG,Đầu báo khói quang + đế YDS-S01,YDS-S01,Yunyang/Taiwan,bộ,"<p>Đầu báo khói quang Yunyang YDS-S01 kèm đế, điện áp 24V, cảm biến khói quang điện – lựa chọn kinh tế cho hệ báo cháy thường.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo khói quang</li>
<li>Điện áp: 24V</li>
<li>Kèm đế đấu nối</li>
<li>Hãng: Yunyang – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Văn phòng, cửa hàng, nhà xưởng quy mô vừa và nhỏ.</p>",yds-s01.jpg|yds-s01-2.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/yds-s01.jpg|https://pcccphuoclong.vn/wp-content/uploads/2026/06/yds-s01-2.png,https://yunyang.com.vn/dau-bao-khoi-quang-yunyang-yds-s01-24v/
THIẾT BỊ BÁO CHÁY YUNYANG,Đầu báo khói quang + đế YDS-S02,YDS-S02,Yunyang/Taiwan,bộ,"<p>Đầu báo khói quang Yunyang YDS-S02 kèm đế, cảm biến khói quang điện cho hệ báo cháy thường, độ bền tốt, dễ bảo trì.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo khói quang</li>
<li>Kèm đế đấu nối</li>
<li>Hãng: Yunyang – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ báo cháy thường cho công trình dân dụng và thương mại nhỏ.</p>",yds-s02.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/yds-s02.jpeg,https://yunyang.com.vn/thiet-bi-bao-chay-yun-yang/
THIẾT BỊ BÁO CHÁY YUNYANG,Đầu báo nhiệt thường + đế YDD-S02A,YDD-S02A,Yunyang/Taiwan,bộ,"<p>Đầu báo nhiệt thường Yunyang YDD-S02A kèm đế, kích hoạt khi nhiệt độ vượt ngưỡng.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo nhiệt</li>
<li>Kèm đế đấu nối</li>
<li>Hãng: Yunyang – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Bếp, nhà xe, khu vực nhiều khói bụi/hơi nước.</p>",ydd-s02a.jpg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ydd-s02a.jpg,http://yunyang.com.vn/dau-bao-nhiet-yunyang-ydd-s02/
THIẾT BỊ BÁO CHÁY YUNYANG,Đèn báo cháy YL-01,YL-01,Yunyang/Taiwan,cái,"<p>Đèn báo cháy Yunyang YL-01, đèn báo hiệu khu vực phát sinh sự cố, hỗ trợ nhận biết vị trí có báo động.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đèn báo cháy</li>
<li>Điện áp: 24V</li>
<li>Hãng: Yunyang – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Lắp ngoài phòng/hành lang để chỉ thị khu vực báo động.</p>",yl-01.jpeg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/yl-01.jpeg,https://yunyang.com.vn/den-bao-chay-yunyang-yl-01/
THIẾT BỊ BÁO CHÁY YUNYANG,"Chuông báo cháy 6"" YFB-6",YFB-6,Yunyang/Taiwan,cái,"<p>Chuông báo cháy Yunyang YFB-6 cỡ 6 inch, phát âm thanh báo động lớn, vỏ kim loại bền.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: chuông báo cháy</li>
<li>Đường kính: 6 inch (~150mm)</li>
<li>Điện áp: 24V</li>
<li>Hãng: Yunyang – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hành lang, cầu thang, khu vực công cộng trong nhà.</p>",yfb-6.jpg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/yfb-6.jpg,https://yunyang.com.vn/chuong-bao-chay-6-yunyang-yfb-6-24v/
THIẾT BỊ BÁO CHÁY YUNYANG,Nút nhấn khần YM-P01,YM-P01,Yunyang/Taiwan,cái,"<p>Nút nhấn khẩn cấp Yunyang YM-P01, kích hoạt báo cháy bằng tay, thiết kế gọn dễ thao tác.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: nút nhấn khẩn (manual call point)</li>
<li>Vỏ đỏ dễ nhận biết</li>
<li>Hãng: Yunyang – Đài Loan</li>
</ul>
<h3>Ứng dụng</h3>
<p>Lối thoát hiểm, hành lang, gần cửa ra vào.</p>",ym-p01.jpg,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ym-p01.jpg,https://yunyang.com.vn/nut-nhan-khan-yunyang-ym-p01/
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng lên Tyco DN15, K5.6, 68°C TY315",TY315,Tyco/UK,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY315, lắp hướng lên (upright). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY315</li>
<li>Hướng lắp: hướng lên (upright)</li>
<li>Kích cỡ ren: DN15 (1/2 inch)</li>
<li>Hệ số dòng chảy K = 5.6</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty315.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty315.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-len-ty315.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng xuống Tyco DN15, K5.6, 68°C TY325",TY325,Tyco/UK,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY325, lắp hướng xuống (pendent). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 68°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY325</li>
<li>Hướng lắp: hướng xuống (pendent)</li>
<li>Kích cỡ ren: DN15 (1/2 inch)</li>
<li>Hệ số dòng chảy K = 5.6</li>
<li>Nhiệt độ kích hoạt: 68°C (bầu thủy tinh màu đỏ)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty325.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty325.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-xuong-ty325.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng xuống Tyco DN15, K5.6, 93°C TY325",TY325,Tyco/UK,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY325, lắp hướng xuống (pendent). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 93°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. Loại 93°C dùng cho khu vực nhiệt độ môi trường cao hơn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY325</li>
<li>Hướng lắp: hướng xuống (pendent)</li>
<li>Kích cỡ ren: DN15 (1/2 inch)</li>
<li>Hệ số dòng chảy K = 5.6</li>
<li>Nhiệt độ kích hoạt: 93°C (bầu thủy tinh màu xanh lá)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty325.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty325.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-xuong-ty325.html
ĐẦU PHUN CHỮA CHÁY,"Đầu phun hướng lên Tyco DN15, K5.6, 93°C TY315",TY315,Tyco/UK,cái,"<p>Đầu phun sprinkler chữa cháy Tyco model TY315, lắp hướng lên (upright). Loại bầu thủy tinh tự kích hoạt: khi nhiệt độ môi trường đạt 93°C, bầu thủy tinh vỡ và đầu phun xả nước dập cháy tự động. Loại 93°C dùng cho khu vực nhiệt độ môi trường cao hơn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Model: TY315</li>
<li>Hướng lắp: hướng lên (upright)</li>
<li>Kích cỡ ren: DN15 (1/2 inch)</li>
<li>Hệ số dòng chảy K = 5.6</li>
<li>Nhiệt độ kích hoạt: 93°C (bầu thủy tinh màu xanh lá)</li>
<li>Cơ chế: bầu thủy tinh (glass bulb)</li>
<li>Xuất xứ: Tyco – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Hệ thống chữa cháy tự động sprinkler cho nhà xưởng, kho, tòa nhà, trung tâm thương mại.</p>",ty315-1-26.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/ty315-1-26.png,https://anphat.com/vi/dau-phun-sprinkler-tyco-huong-len-ty315.html
